Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size-Inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price
0,Acer,4,IPS Panel,2,1,5,14.0,1.6,8,256,3.527392,978
1,Dell,3,Full HD,1,1,3,15.600000000000001,2.0,4,256,4.850164,634
2,Dell,3,Full HD,1,1,7,15.600000000000001,2.7,8,256,4.850164,946
3,Dell,4,IPS Panel,2,1,5,13.299999999999999,1.6,8,128,2.6896363999999995,1244
4,HP,4,Full HD,2,1,7,15.600000000000001,1.8,8,256,4.210824199999999,837
5,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,8,256,4.850164,1016
6,HP,3,Full HD,3,1,5,15.600000000000001,1.6,8,256,4.629702,1117
7,Acer,3,IPS Panel,2,1,5,15.0,1.6,4,256,4.850164,866
8,Dell,3,Full HD,1,1,5,15.600000000000001,2.5,4,256,5.070625999999999,812
9,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,4.850164,1068
10,Dell,3,Full HD,1,1,7,15.600000000000001,1.8,8,256,4.6958405999999995,975
11,HP,3,Full HD,2,1,3,15.600000000000001,2.0,4,128,4.210824199999999,558
12,Asus,3,Full HD,2,2,3,15.600000000000001,2.0,4,256,4.40924,527
13,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.7478539999999994,1117
14,Asus,3,Full HD,2,1,5,14.0,1.6,8,256,3.0864679999999995,1195
15,HP,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.1005932,876
16,Dell,4,IPS Panel,1,1,7,13.000000000000002,1.8,8,256,3.0864679999999995,1213
17,Dell,3,Full HD,1,1,7,15.600000000000001,1.8,8,256,4.850164,1105
18,Dell,4,IPS Panel,2,1,5,15.0,1.6,8,256,4.144685599999999,1392
19,HP,3,Full HD,2,1,5,14.0,1.6,8,256,3.5935305999999994,1092
20,HP,4,IPS Panel,3,1,7,15.0,1.8,8,256,4.0344546,888
21,HP,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.321055199999999,761
22,Dell,4,IPS Panel,2,1,7,13.000000000000002,1.8,8,256,2.6675902,2095
23,Dell,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.842242999999999,1518
24,Asus,4,Full HD,2,1,7,14.0,2.7,8,256,2.755775,1333
25,Dell,3,Full HD,1,2,3,15.600000000000001,2.0,4,256,4.850164,616
26,Asus,3,Full HD,3,1,3,15.600000000000001,2.4,6,256,4.40924,733
27,HP,3,Full HD,1,1,7,15.600000000000001,2.7,8,256,4.210824199999999,913
28,HP,4,IPS Panel,3,1,7,13.000000000000002,2.7,8,256,3.0423755999999993,1421
29,HP,3,IPS Panel,3,1,5,14.0,2.5,6,256,4.105513381974248,837
30,Asus,4,IPS Panel,3,1,7,14.0,2.7,8,256,2.866006,1515
31,Lenovo,3,IPS Panel,2,1,7,14.0,2.7,8,256,3.4832996,1880
32,Dell,4,IPS Panel,2,1,5,13.000000000000002,1.6,8,256,2.6675902,2069
33,Asus,3,Full HD,3,1,7,15.600000000000001,1.8,8,256,3.7478539999999994,1420
34,HP,3,Full HD,2,1,5,17.3,1.6,8,256,5.51155,1179
35,Acer,4,IPS Panel,2,1,7,14.0,1.8,8,256,3.527392,1123
36,Acer,3,Full HD,3,1,3,15.600000000000001,2.7,4,256,4.850164,727
37,HP,3,Full HD,2,1,7,14.0,1.8,8,256,3.5935305999999994,1255
38,HP,3,IPS Panel,2,1,5,13.000000000000002,2.5,4,256,4.105513381974248,888
39,Lenovo,3,IPS Panel,1,1,5,14.0,1.6,8,256,3.8580849999999995,1418
40,Asus,4,Full HD,2,1,7,14.0,1.8,8,256,2.755775,1396
41,HP,4,Full HD,2,1,5,14.0,2.7,4,256,3.2628375999999997,1374
42,HP,3,Full HD,1,1,5,15.600000000000001,1.6,6,256,4.210824199999999,786
43,Acer,3,IPS Panel,3,1,5,17.0,1.6,4,256,6.613859999999999,1023
44,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,8,256,4.6958405999999995,925
45,Lenovo,1,IPS Panel,3,1,7,15.0,2.8,16,256,5.51155,1371
46,Acer,3,IPS Panel,3,1,5,17.0,1.6,8,256,6.613859999999999,1085
47,Huawei,4,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,2.314851,1714
48,HP,3,Full HD,3,1,5,17.3,1.6,8,256,5.51155,1172
49,Dell,4,Full HD,2,1,5,13.299999999999999,1.6,8,256,4.105513381974248,1777
50,Acer,4,IPS Panel,2,1,5,13.000000000000002,1.2,8,256,2.4691744,1256
51,HP,3,Full HD,3,1,7,17.3,1.8,8,256,5.51155,1327
52,Dell,4,Full HD,2,1,7,13.299999999999999,1.8,8,256,2.6455439999999997,1841
53,Dell,4,IPS Panel,1,1,7,13.000000000000002,1.8,8,256,3.0864679999999995,1184
54,HP,3,Full HD,3,1,7,14.0,1.8,8,256,3.5935305999999994,1310
55,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.527392,1460
56,Dell,3,Full HD,1,2,5,15.600000000000001,1.6,8,256,4.850164,860
57,Toshiba,4,Full HD,2,1,7,13.299999999999999,2.5,8,256,2.6455439999999997,1731
58,Acer,3,Full HD,3,1,7,15.600000000000001,2.7,8,256,4.850164,1057
59,Asus,3,Full HD,3,1,5,15.600000000000001,2.5,8,256,4.40924,977
60,Dell,3,Full HD,2,1,5,14.0,2.5,8,256,3.527392,1091
61,Dell,3,Full HD,1,2,7,15.600000000000001,2.7,16,256,4.105513381974248,1142
62,Acer,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51155,1075
63,Dell,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.6438272,1117
64,Asus,1,Full HD,3,1,7,17.3,2.9,16,256,7.9366319999999995,3810
65,Acer,3,IPS Panel,3,1,3,17.0,2.7,4,256,6.613859999999999,892
66,Dell,4,Full HD,2,1,5,13.299999999999999,1.6,8,256,3.1085141999999997,1206
67,Lenovo,3,Full HD,2,1,7,15.600000000000001,1.8,8,256,4.519470999999999,1118
68,Dell,3,Full HD,1,2,7,15.600000000000001,1.8,8,256,4.105513381974248,934
69,Lenovo,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51155,1053
70,Lenovo,3,Full HD,2,1,5,15.600000000000001,2.5,6,256,4.850164,735
71,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,6.613859999999999,1208
72,Lenovo,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.299009,1394
73,Asus,4,Full HD,3,1,5,15.600000000000001,2.5,8,256,3.7478539999999994,1241
74,Dell,3,Full HD,3,1,7,15.600000000000001,2.8,8,256,4.40924,2323
75,Lenovo,3,Full HD,2,1,5,15.600000000000001,1.6,8,256,4.519470999999999,939
