,Product Link,Product Name,Prices,Description,Reviews,Ratings
0,https://www.flipkart.com/cmf-nothing-phone-1-blue-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTMNNEFQMC&lid=LSTMOBHYBQTMNNEFQMCGO0C1P&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_25&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBHYBQTMNNEFQMC.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,999","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB, 16.94 cm (6.67 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 5000 mAh Battery, Dimensity 7300 5G Processor, 1 Year Manufacturing Warranty","74,616 Ratings & 5,297 Reviews",4.4
1,https://www.flipkart.com/iqoo-z9s-5g-titanium-matte-128-gb/p/itm5db90df0e52cf?pid=MOBH4CCCGFGZDBFX&lid=LSTMOBH4CCCGFGZDBFXXP0MPF&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_26&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBH4CCCGFGZDBFX.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"IQOO Z9s 5G (Titanium Matte, 128 GB)","₹18,512","8 GB RAM | 128 GB ROM, 17.2 cm (6.77 inch) Display, 50MP Rear Camera, 5500 mAh Battery, 1 year manufacturer warranty for device & 6 months for In-box accessories from the date of purchase","5,083 Ratings & 330 Reviews",4.4
2,https://www.flipkart.com/kall-i7-cloud-phone-2-4-display-2000mah-battery-support-youtube-facebook/p/itmb56f0f8250466?pid=MOBHBZHQDPGY6HYH&lid=LSTMOBHBZHQDPGY6HYHOFUW0J&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_27&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=en_yUXA33gm6o38H9xg0RVU8by_btNkG7LSxhd1Qra_PaLaun0V7aS4wmVrHO1Arp7geFMq7_qvHD0IN8Ts9rGB6g%3D%3D&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"I Kall I7 Cloud Phone-2.4"" Display, 2000mAh Battery, Support Youtube and Facebook","₹1,499","32 MB RAM | 64 MB ROM, 6.1 cm (2.4 inch) Display, 0.8MP Rear Camera, 2500 mAh Battery, ONE-YEAR MANUFACTURER DEFECTS WARRANTY",N/A,N/A
3,https://www.flipkart.com/kall-k333-plus-touch-type-blue-16-gb/p/itmd063968514628?pid=MOBGSGH6GS4QA2Q4&lid=LSTMOBGSGH6GS4QA2Q4KU5WVA&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_28&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=en_yUXA33gm6o38H9xg0RVU8by_btNkG7LSxhd1Qra_PaIGa8FW1rxqiN_wTQyMTxiXtXqk0W_58b6AEooqR0sQhQ%3D%3D&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"I Kall K333 Plus Touch and Type (Blue, 16 GB)","₹2,920","2 GB RAM | 16 GB ROM | Expandable Upto 128 GB, 7.11 cm (2.8 inch) HD Display, 2MP Rear Camera, 2000 mAh Battery, One year manufacture warranty","1,276 Ratings & 118 Reviews",3.4
4,https://www.flipkart.com/motorola-g64-5g-pearl-blue-256-gb/p/itm1e0225e79669e?pid=MOBGY2JUZFHY6ZZP&lid=LSTMOBGY2JUZFHY6ZZPTRCYFP&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_29&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBGY2JUZFHY6ZZP.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"Motorola g64 5G (Pearl Blue, 256 GB)","₹15,999","12 GB RAM | 256 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP (OIS) + 8MP | 16MP Front Camera, 6000 mAh Battery, Dimensity 7025 Processor, 1 Year on Handset and 6 Months on Accessories","78,481 Ratings & 5,065 Reviews",4.2
5,https://www.flipkart.com/motorola-g64-5g-berry-red-256-gb/p/itmb96614e89f514?pid=MOBH35Z74ZMRYPFT&lid=LSTMOBH35Z74ZMRYPFTPQI9UZ&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_30&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBH35Z74ZMRYPFT.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"Motorola g64 5G (Berry Red, 256 GB)","₹15,999","12 GB RAM | 256 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP (OIS) + 8MP | 16MP Front Camera, 6000 mAh Battery, Dimensity 7025 Processor, 1 Year on Handset and 6 Months on Accessories","78,481 Ratings & 5,065 Reviews",4.2
6,https://www.flipkart.com/kall-i10-keypad-mobile-2-8-display-2500mah-battery-support-facebook-youtube/p/itm917eb4b0e4a4d?pid=MOBHBG4FP8NYNEPM&lid=LSTMOBHBG4FP8NYNEPM4NMJZF&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_31&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=en_yUXA33gm6o38H9xg0RVU8by_btNkG7LSxhd1Qra_PaL3ByPRH274OVted30Z8nwPNV9irUUz_wHrHSyg_2_RGQ%3D%3D&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"I Kall I10 Keypad Mobile 2.8"" Display, 2500mAh Battery, Support - Facebook, Youtube","₹1,499","32 MB RAM | 32 MB ROM | Expandable Upto 8 GB, 6.1 cm (2.4 inch) Display, 0.8MP Rear Camera, 2500 mAh Battery, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",N/A,N/A
7,https://www.flipkart.com/realme-p3-5g-nebula-pink-128-gb/p/itm69060f73d27e8?pid=MOBHAYN5NYBZZFNT&lid=LSTMOBHAYN5NYBZZFNTSIQ483&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_32&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBHAYN5NYBZZFNT.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"realme P3 5G (Nebula Pink, 128 GB)","₹16,999","8 GB RAM | 128 GB ROM | Expandable Upto 2 TB, 16.94 cm (6.67 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 6000 mAh Battery, 6 Gen 4 Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","5,044 Ratings & 415 Reviews",4.4
8,https://www.flipkart.com/cmf-nothing-phone-1-light-green-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQT9FXMYZR5&lid=LSTMOBHYBQT9FXMYZR5NL0KRX&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_33&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBHYBQT9FXMYZR5.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,999","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB, 16.94 cm (6.67 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 5000 mAh Battery, Dimensity 7300 5G Processor, 1 Year Manufacturing Warranty","74,616 Ratings & 5,297 Reviews",4.4
9,https://www.flipkart.com/poco-x7-5g-yellow-128-gb/p/itm638304f590e26?pid=MOBH7YZ92V9ZTCPB&lid=LSTMOBH7YZ92V9ZTCPBBC876R&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_2_34&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=b48331ee-5e1d-4b1f-ab8c-421d02670e72.MOBH7YZ92V9ZTCPB.SEARCH&ppt=None&ppn=None&ssid=7huhjpgh1c0000001746867506894&qH=d176de24c4511b16,"POCO X7 5G (Yellow, 128 GB)","₹16,999","8 GB RAM | 128 GB ROM, 16.94 cm (6.67 inch) Display, 50MP + 8MP + 2MP | 20MP Front Camera, 5500 mAh Battery, Dimensity 7300 Ultra Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","4,221 Ratings & 437 Reviews",4.3
